email,label
buy cheap watches online now!,spam
urgent: your account has been locked,spam
hello, can we schedule a meeting?,ham
congratulations! you've won a prize,spam
team project update for next week,ham
limited time offer - 90% off!,spam
monthly team performance report,ham
get rich quick with this investment,spam
dinner invitation for friday,ham
increase your followers instantly,spam
quarterly sales analysis,ham
click here to claim your reward,spam
client meeting minutes,ham
amazing weight loss supplement,spam
technical documentation review,ham
you've inherited millions!,spam
software development progress report,ham
free iphone - claim now!,spam
project milestone update,ham